ind	marker	a1_count	a2_count	called_geno	a1_corr	a2_corr
OkeCC19MILC_0001	Oke_ACOT_100	594	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_APOB_60	0	474	A2HOM	0	0
OkeCC19MILC_0001	Oke_ATP5L_105	324	290	HET	0	0
OkeCC19MILC_0001	Oke_AhR1_278	720	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_CATB_60	532	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_CD123_62	388	344	HET	0	0
OkeCC19MILC_0001	Oke_CKS1_70	299	302	HET	0	0
OkeCC19MILC_0001	Oke_CKS_389	521	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_CO1A1_72	2	360	A2HOM	0	1.5
OkeCC19MILC_0001	Oke_CTR2_82	5	841	A2HOM	0	0
OkeCC19MILC_0001	Oke_DBLOH_79	0	702	A2HOM	0	0
OkeCC19MILC_0001	Oke_DCXR_87	0	616	A2HOM	0	0
OkeCC19MILC_0001	Oke_DM20_548	0	393	A2HOM	0.25	0
OkeCC19MILC_0001	Oke_EF2_394	442	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_GNMT_100	0	488	A2HOM	0	0
OkeCC19MILC_0001	Oke_GPDH_191	332	353	HET	0	0
OkeCC19MILC_0001	Oke_H2AX_72	3	698	A2HOM	0	0
OkeCC19MILC_0001	Oke_HP_182	394	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_IL8r2_406	476	542	HET	0	0
OkeCC19MILC_0001	Oke_IL8r_272	2411	2	A1HOM	0	0
OkeCC19MILC_0001	Oke_KPNA2_87	0	0	NA	0	0
OkeCC19MILC_0001	Oke_LAMP2_186	1	588	A2HOM	0	0
OkeCC19MILC_0001	Oke_METK2_97	149	186	HET	0	0
OkeCC19MILC_0001	Oke_MLRN_63	384	2	A1HOM	0	0
OkeCC19MILC_0001	Oke_PDIA3_082	383	330	HET	0	0
OkeCC19MILC_0001	Oke_PDIA3_475	236	216	HET	0	0
OkeCC19MILC_0001	Oke_PPA2_635	476	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD10028_44	615	1	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD10173_41	651	2	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD10459_85	0	443	A2HOM	0.25	0
OkeCC19MILC_0001	Oke_RAD10591_67	238	252	HET	0	0.25
OkeCC19MILC_0001	Oke_RAD10676_50	561	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD10719_31	1	444	A2HOM	0	0
OkeCC19MILC_0001	Oke_RAD11183_63	251	224	HET	0	0
OkeCC19MILC_0001	Oke_RAD11379_85	680	2	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD11444_75	605	2	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD11500_80	470	0	A1HOM	0	0
OkeCC19MILC_0001	Oke_RAD11690_33	263	244	HET	0	0
OkeCC19MILC_0001	Oke_RAD11918_57	562	0	A1HOM	0	0
